booktitle,author,booktype1,booktype2
"Oral and Maxillofacial Surgery: An Objective-Based Textbook, 2e",unknow,Medical Books,Medical Books
"Barron's GRE, 21st Edition",Sharon Weiner Green M.A.,Test Preparation,Test Preparation
George Balanchine: The Ballet Maker (Eminent Lives),Robert Gottlieb,Biographies , Memoirs
"A Partner in Holiness: Deepening Mindfulness, Practicing Compassion and Enriching Our Lives Through the Wisdom of R. Levi Yitzhak of Berdichev's, Vol. 2  (Institute for Jewish Spirituality)",Rabbi Jonathan P. Slater DMin,Religion , Spirituality
Construction Scheduling: Principles and Practices (2nd Edition),Jay S. Newitt,Arts , Photography
"Literature and Its Writers: A Compact Introduction to Fiction, Poetry, and Drama",Ann Charters,Literature , Fiction
Straight on Till Morning: The Life of Beryl Markham,Mary S. Lovell,Engineering , Transportation
Diagrammatica: The Path to Feynman Diagrams (Cambridge Lecture Notes in Physics),Martinus Veltman,Science , Math
Book of Common Prayer 1979: Large Print edition,unknow,Christian Books , Bibles
A Handful of Stars,Cynthia Lord,Children's Books,Children's Books
Almost Anorexic: Is My (or My Loved One's) Relationship with Food a Problem? (The Almost Effect),Ph.D. Jennifer J Thomas,Self-Help,Self-Help
Pre-ANDA Litigation: Strategies and Tactics for Developing a Drug Product and Patent Portfolio,unknow,Law,Law
"Creative, Successful, Dyslexic: 23 High Achievers Share Their Stories",unknow,Politics , Social Sciences
Organ Transplantation (Health and Medical Issues Today),David Petechuk,"Health, Fitness ", Dieting
The Age of Acquiescence: The Life and Death of American Resistance to Organized Wealth and Power,Steve Fraser,Business , Money
The Multiples Manual: Preparing and Caring for Twins or Triplets,Lynn Lorenz,Parenting , Relationships
Oregon High: A Climbing Guide to Nine Cascade Volcanoes,Jeff Thomas,Sports , Outdoors
HTML & XHTML: The Definitive Guide (6th Edition),Chuck Musciano,Computers , Technology
Anti Inflammatory Cookbook - 50 Slow Cooker Recipes With Anti - Inflammatory Ingredients: Great For Gout! (Slow Cooker Cookbooks),Kate Marsh,"Cookbooks, Food ", Wine
Leopard Geckos (Complete Herp Care),Gerald Merker,"Crafts, Hobbies ", Home
Botswana & Its National Heritage,Sandy Grant,Travel,Travel
Eat the Rich: A Treatise on Economics,P.  J. O'Rourke,Humor , Entertainment
Paw Patrol Phonics Box Set (PAW Patrol) (Step into Reading),Jennifer Liberts,Reference,Reference
The Official Doctor Who2016 Square Calendar,unknow,Calendars,Calendars
Battlefields of the Civil War Map,National Geographic Society,History,History
5 Centimeters per Second,unknow,Comics , Graphic Novels
The Story of the New Orleans Hornets (The NBA: a History of Hoops),Tyler Omoth,Teen , Young Adult
Love in Provence: Romantic Adventures in the South of France,Yvone Lenard,Romance,Romance
Polymeric Multicomponent Materials: An Introduction,L. H. Sperling,Science , Math
Fantasy League,Mike Lupica,Children's Books,Children's Books
Be the Ultimate Assistant: A celebrity assistant's secrets to working with any high-powered employer,Bonnie Low-Kramen,Business , Money
Parables: The Greatest Stories Ever Told (Lifeguide Bible Studies),John White,Christian Books , Bibles
Bali Travels Maldives [Japanese Edition],Giniro Natsuo,Travel,Travel
Microsoft Windows Security Essentials,Darril Gibson,Computers , Technology
Shadowrun: Third Edition (FPR25000),FanPro,Science Fiction , Fantasy
The Crime Wave: Collected Nonfiction (The Ace Performer Collection series),Dashiell Hammett,"Mystery, Thriller ", Suspense
The English Country House Garden,Marcus Harpur,"Crafts, Hobbies ", Home
Diary of Anne Frank,Frances Goodrich,History,History
ICD-10-CM 2015: The Complete Official Codebook,unknow,Medical Books,Medical Books
The Words of Gandhi (Newmarket Words Of Series),Mahatma Gandhi,Religion , Spirituality
Shortcut,Donald Crews,Children's Books,Children's Books
Medical Mycology: Cellular and Molecular Techniques,unknow,"Health, Fitness ", Dieting
The First Third,Neal Cassady,Travel,Travel
Reasons Mommy Drinks,Lyranda Martin-Evans,Humor , Entertainment
"Manual of High Risk Pregnancy and Delivery, 5e (Manual of High Risk Pregnancy & Delivery)",Elizabeth S. Gilbert RNC  MS  FNPc,Medical Books,Medical Books
Oscillations and Waves: An Introduction,Richard Fitzpatrick,Science , Math
DAMAGES,Barry Werth,Law,Law
Sermons on Timothy and Titus (16th-17th Century Facsimile Edition),John Calvin,Christian Books , Bibles
Oils and Vinegars: Discovering and Enjoying Gourmet Oils and Vinegars,Liz Franklin,"Cookbooks, Food ", Wine
"The Handbook of Painted Decoration: The Tools, Materials, and Step-by-Step Techniques of Trompe L'Oeil Painting",Yannick Guegan,Arts , Photography
"Stage Plays from the Classics: One-Act Adaptations from Famous Short Stories, Novels, and Plays",Joellen Bland,Teen , Young Adult
Runner's World Meals on the Run: 150 energy-packed recipes in 30 minutes or less,Joanna Sayago Golub,"Cookbooks, Food ", Wine
